game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2017-10-17,2017-18,Boston Celtics @ Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,1.5,18,3.45,2.82,1.04,2.5,1.54,1.54,-4.5
2017-10-17,2017-18,Houston Rockets @ Golden State Warriors,Houston Rockets,Golden State Warriors,1.2,24,5.1,NA,1.04,50,1.21,NA,-9
2017-10-18,2017-18,Philadelphia 76ers @ Washington Wizards,Philadelphia 76ers,Washington Wizards,2.4,100,3.57,3.55,1.01,2.16,1.33,1.38,-7
2017-10-18,2017-18,Charlotte Hornets @ Detroit Pistons,Charlotte Hornets,Detroit Pistons,2.32,1000,3.02,2.32,1.01,1.75,1.53,1.75,-13.5
2017-10-18,2017-18,Brooklyn Nets @ Indiana Pacers,Brooklyn Nets,Indiana Pacers,2.2,50,2.73,2.4,1.01,1.8,1.65,1.67,-2.5
2017-10-18,2017-18,Miami Heat @ Orlando Magic,Miami Heat,Orlando Magic,1.58,50,1.93,1.65,1.01,2.62,1.8,2.56,4
2017-10-18,2017-18,Milwaukee Bucks @ Boston Celtics,Milwaukee Bucks,Boston Celtics,1.01,3.35,1.51,2.18,1.3,7.2,1.83,1.88,-2.5
2017-10-18,2017-18,Minnesota Timberwolves @ San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,2.02,16,2.44,2.08,1.01,2,1.79,1.9,-1.5
2017-10-18,2017-18,Atlanta Hawks @ Dallas Mavericks,Atlanta Hawks,Dallas Mavericks,1.01,3.5,1.86,3.05,1.35,2.62,1.51,1.49,-5.5
2017-10-18,2017-18,Denver Nuggets @ Utah Jazz,Denver Nuggets,Utah Jazz,1.17,150,2.29,2.32,1.01,2.96,1.8,1.75,-2.5
2017-10-18,2017-18,Houston Rockets @ Sacramento Kings,Houston Rockets,Sacramento Kings,1.01,1.45,1.16,1.34,3.45,21,4.08,3.85,7.5
2017-10-18,2017-18,New Orleans Pelicans @ Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,1.87,100,2.68,2.22,1.01,2.4,1.5,1.82,-3
