game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2015-10-27,2015-16,Detroit @ Atlanta,Detroit Pistons,Atlanta Hawks,1.02,4,1.72,3.85,1.26,34,1.51,1.36,-6.5
2015-10-27,2015-16,Cleveland @ Chicago,Cleveland Cavaliers,Chicago Bulls,2.02,11,2.82,2.56,1.03,1.82,1.45,1.65,-2.5
2015-10-27,2015-16,New Orleans @ Golden State,New Orleans Pelicans,Golden State Warriors,5.4,360,7.48,7.2,1.01,1.23,1.15,1.16,-9.5
2015-10-28,2015-16,Washington @ Orlando,Washington Wizards,Orlando Magic,1.44,3.35,1.61,1.59,1.24,4.2,2.71,2.7,4.5
2015-10-28,2015-16,Philadelphia @ Boston,Philadelphia 76ers,Boston Celtics,3.4,13.5,8.17,8.6,1.07,1.33,1.13,1.13,-11.5
2015-10-28,2015-16,Chicago @ Brooklyn,Chicago Bulls,Brooklyn Nets,1.01,1.58,1.32,1.51,2.86,6.4,4.64,3,5.5
2015-10-28,2015-16,Utah @ Detroit,Utah Jazz,Detroit Pistons,1.51,2.3,1.93,1.95,1.14,2.52,2.03,2.06,1.5
2015-10-28,2015-16,Charlotte @ Miami,Charlotte Hornets,Miami Heat,3.25,6.6,3.53,3.45,1.04,1.8,1.41,1.42,-6.5
2015-10-28,2015-16,Indiana @ Toronto,Indiana Pacers,Toronto Raptors,1.3,7.2,3.01,2.94,1.12,3.6,2.01,1.5,-5.5
2015-10-28,2015-16,Denver @ Houston,Denver Nuggets,Houston Rockets,1.02,8.8,1.57,6.6,1.16,3.5,1.35,1.18,-10.5
2015-10-28,2015-16,Cleveland @ Memphis,Cleveland Cavaliers,Memphis Grizzlies,1.05,3.05,1.23,3,1.45,11,1.89,1.5,-5.5
2015-10-28,2015-16,New York @ Milwaukee,New York Knicks,Milwaukee Bucks,2.6,3.4,2.98,2.98,1.4,2,1.53,1.52,-5.5
2015-10-28,2015-16,San Antonio @ Oklahoma City,San Antonio Spurs,Oklahoma City Thunder,1.2,3.6,2.11,2.68,1.02,3,1.74,1.59,-4.5
2015-10-28,2015-16,Dallas @ Phoenix,Dallas Mavericks,Phoenix Suns,1.01,3.25,1.93,3.05,1.44,26,1.56,1.46,-4.5
2015-10-28,2015-16,New Orleans @ Portland,New Orleans Pelicans,Portland Trail Blazers,1.77,100,6.17,2.22,1.02,2.28,1.13,1.8,-2.5
2015-10-28,2015-16,LA Clippers @ Sacramento,Los Angeles Clippers,Sacramento Kings,1.01,2,1.29,1.44,2.44,7.2,3.94,3.25,5.5
2015-10-28,2015-16,Minnesota @ LA Lakers,Minnesota Timberwolves,Los Angeles Lakers,1.01,6.2,2.02,2.4,1.15,21,2,1.72,-3.5
2015-10-29,2015-16,Memphis @ Indiana,Memphis Grizzlies,Indiana Pacers,1.04,2.48,1.58,1.74,1.41,6.4,2.45,2.38,2.5
2015-10-29,2015-16,Atlanta @ New York,Atlanta Hawks,New York Knicks,1.01,1.73,1.19,1.57,2.56,100,6.93,2.76,3.5
2015-10-29,2015-16,Dallas @ LA Clippers,Dallas Mavericks,Los Angeles Clippers,6,18,7.97,8,1.01,1.2,1.13,1.14,-11.5
2015-10-30,2015-16,Chicago @ Detroit,Chicago Bulls,Detroit Pistons,1.6,5.3,1.78,1.71,1.22,3,2.42,2.46,2.5
2015-10-30,2015-16,Miami @ Cleveland,Miami Heat,Cleveland Cavaliers,2.7,200,4.52,3.05,1.01,1.5,1.4,1.48,-6.5
2015-10-30,2015-16,Oklahoma City @ Orlando,Oklahoma City Thunder,Orlando Magic,1.02,11,1.57,1.28,1.04,11,1.59,4.5,8.5
2015-10-30,2015-16,Toronto @ Boston,Toronto Raptors,Boston Celtics,1.76,2.34,2.22,2.2,1.74,2.5,1.93,1.87,-2.5
2015-10-30,2015-16,Utah @ Philadelphia,Utah Jazz,Philadelphia 76ers,1.01,1.39,1.2,1.34,3.65,4.4,3.89,4,7.5
2015-10-30,2015-16,Brooklyn @ San Antonio,Brooklyn Nets,San Antonio Spurs,3.2,15.5,8.4,12.5,1.01,1.1,1.07,1.09,13.5
2015-10-30,2015-16,Charlotte @ Atlanta,Charlotte Hornets,Atlanta Hawks,2.7,3.25,2.74,2.72,1.1,2.04,1.55,1.58,-4.5
2015-10-30,2015-16,Golden State @ Houston,Golden State Warriors,Houston Rockets,1.01,1.97,1.52,1.89,2.08,240,3.02,2.08,1.5
2015-10-31,2015-16,Golden State @ New Orleans,Golden State Warriors,New Orleans Pelicans,1.01,1.62,1.2,1.45,2.74,36,4.03,3.2,4.5
2015-10-30,2015-16,LA Lakers @ Sacramento,Los Angeles Lakers,Sacramento Kings,3.6,13.5,4.05,3.8,1.01,1.46,1.14,1.36,-6.5
2015-10-30,2015-16,Minnesota @ Denver,Minnesota Timberwolves,Denver Nuggets,1.06,2.82,2.08,2.52,1.62,11,1.76,1.65,-3.5
2015-10-31,2015-16,New York @ Washington,New York Knicks,Washington Wizards,1.22,4.7,3.53,4,1.26,3.05,1.47,1.31,-7.5
2015-10-30,2015-16,Portland @ Phoenix,Portland Trail Blazers,Phoenix Suns,2.6,3.6,2.75,2.68,1.01,1.63,1.34,1.59,-4.5
2015-10-31,2015-16,Utah @ Indiana,Utah Jazz,Indiana Pacers,1.01,3.7,1.96,2.5,1.33,5,1.65,1.65,-3.5
2015-10-30,2015-16,Washington @ Milwaukee,Washington Wizards,Milwaukee Bucks,1.01,2.42,1.78,1.85,1.6,2.22,2.14,2.22,2.5
2015-11-01,2015-16,Atlanta @ Charlotte,Atlanta Hawks,Charlotte Hornets,1.27,1.93,1.73,1.77,1.52,2.3,2.14,2.3,1.5
2015-10-31,2015-16,Brooklyn @ Memphis,Brooklyn Nets,Memphis Grizzlies,9.4,34,13.45,9.4,1.01,1.13,1.08,1.11,-12.5
2015-11-01,2015-16,Houston @ Miami,Houston Rockets,Miami Heat,1.09,36,2,2.62,1.03,8.2,2.14,1.61,-2.5
2015-11-01,2015-16,Milwaukee @ Toronto,Milwaukee Bucks,Toronto Raptors,3.2,50,5.22,3.4,1.01,1.5,1.22,1.43,-7.5
2015-10-31,2015-16,Phoenix @ Portland,Phoenix Suns,Portland Trail Blazers,1.03,2.4,1.89,2.2,1.69,34,1.96,1.8,-2.5
2015-10-31,2015-16,Sacramento @ LA Clippers,Sacramento Kings,Los Angeles Clippers,2.5,13.5,6.49,6.4,1.01,1.57,1.15,1.18,-10.5
2015-11-01,2015-16,San Antonio @ Boston,San Antonio Spurs,Boston Celtics,1.02,1.53,1.25,1.41,2.92,5.7,3.53,3.5,5.5
2015-11-01,2015-16,Dallas @ LA Lakers,Dallas Mavericks,Los Angeles Lakers,1.02,1.6,1.37,1.58,2.26,110,4.88,2.66,3.5
2015-11-01,2015-16,Denver @ Oklahoma City,Denver Nuggets,Oklahoma City Thunder,8,100,13.63,11,1.02,1.14,1.11,1.1,12.5
2015-11-01,2015-16,Orlando @ Chicago,Orlando Magic,Chicago Bulls,3.8,90,5.41,4.5,1.01,1.4,1.23,1.28,-8.5
2015-11-02,2015-16,Cleveland @ Philadelphia,Cleveland Cavaliers,Philadelphia 76ers,1.04,1.75,1.12,1.09,2.4,13.5,8.66,11,12.5
2015-11-02,2015-16,Memphis @ Golden State,Memphis Grizzlies,Golden State Warriors,4.6,15,5.33,5.4,1.01,1.28,1.22,1.22,-9.5
2015-11-02,2015-16,Milwaukee @ Brooklyn,Milwaukee Bucks,Brooklyn Nets,1.01,2.94,1.45,1.94,1.68,5,2.3,2.06,-1.5
2015-11-02,2015-16,Oklahoma City @ Houston,Oklahoma City Thunder,Houston Rockets,1.18,34,1.82,1.57,1.01,3.8,1.54,2.76,2.5
2015-11-02,2015-16,Phoenix @ LA Clippers,Phoenix Suns,Los Angeles Clippers,3.2,8.6,5.19,5,1.02,1.71,1.2,1.25,-9.5
2015-11-02,2015-16,Portland @ Minnesota,Portland Trail Blazers,Minnesota Timberwolves,1.09,3.8,2.25,2.68,1.43,4.8,2.05,1.57,-5.5
2015-11-02,2015-16,San Antonio @ New York,San Antonio Spurs,New York Knicks,1.01,1.58,1.27,1.32,2.78,12.5,4.9,4.1,7.5
2015-11-03,2015-16,Atlanta @ Miami,Atlanta Hawks,Miami Heat,1.02,2.7,1.48,2.62,1.39,7.6,2.35,1.62,-4.5
2015-11-03,2015-16,Chicago @ Charlotte,Chicago Bulls,Charlotte Hornets,1.5,110,2.1,1.59,1.02,2.7,1.17,2.7,3.5
2015-11-03,2015-16,Denver @ LA Lakers,Denver Nuggets,Los Angeles Lakers,1.01,3.7,1.64,2.3,1.37,34,2.27,1.71,1.5
2015-11-03,2015-16,Memphis @ Sacramento,Memphis Grizzlies,Sacramento Kings,1.03,1.75,1.25,1.61,2.2,15,3.8,2.6,4.5
2015-11-03,2015-16,Indiana @ Detroit,Indiana Pacers,Detroit Pistons,1.03,4.2,1.37,2.78,1.35,26,2.45,1.55,-4.5
2015-11-03,2015-16,Orlando @ New Orleans,Orlando Magic,New Orleans Pelicans,1.03,3,2.11,3,1.45,5.1,1.87,1.51,-3.5
2015-11-03,2015-16,Toronto @ Dallas,Toronto Raptors,Dallas Mavericks,1.03,2.4,1.61,1.85,1.5,6.6,2.13,2.18,1.5
2015-11-04,2015-16,Boston @ Indiana,Boston Celtics,Indiana Pacers,1.72,3.2,2.03,1.8,1.06,2.4,2,2.22,2.5
2015-11-04,2015-16,Brooklyn @ Atlanta,Brooklyn Nets,Atlanta Hawks,2.66,4.2,3.8,3.9,1.05,1.34,1.33,1.34,-8.5
2015-11-04,2015-16,LA Clippers @ Golden State,Los Angeles Clippers,Golden State Warriors,1.46,26,3.28,4.1,1.03,3.2,1.35,1.32,-7.5
2015-11-04,2015-16,New York @ Cleveland,New York Knicks,Cleveland Cavaliers,2,11,4.53,6.6,1.03,1.83,1.15,1.17,-9.5
2015-11-04,2015-16,Orlando @ Houston,Orlando Magic,Houston Rockets,2.68,5.1,4.26,4.9,1.15,2,1.27,1.26,-8.5
2015-11-04,2015-16,Philadelphia @ Milwaukee,Philadelphia 76ers,Milwaukee Bucks,1.67,6,3.24,4.6,1.05,1.31,1.25,1.27,-10.5
2015-11-04,2015-16,Portland @ Utah,Portland Trail Blazers,Utah Jazz,1.01,3.7,1.65,3.6,1.37,8,1.74,1.37,-6.5
2015-11-04,2015-16,Sacramento @ Phoenix,Sacramento Kings,Phoenix Suns,4.5,5.6,5.26,5.2,1.01,1.31,1.07,1.23,-9.5
2015-11-04,2015-16,San Antonio @ Washington,San Antonio Spurs,Washington Wizards,1.16,4.8,1.77,1.58,1.15,5.1,2.93,2.72,4.5
2015-11-04,2015-16,Toronto @ Oklahoma City,Toronto Raptors,Oklahoma City Thunder,1.71,7,4.45,4.4,1.07,1.5,1.23,1.28,-8.5
2015-11-05,2015-16,Charlotte @ Dallas,Charlotte Hornets,Dallas Mavericks,1.01,2.8,2.1,2.64,1.5,4.4,1.62,1.6,-4.5
2015-11-05,2015-16,Memphis @ Portland,Memphis Grizzlies,Portland Trail Blazers,1.35,34,1.88,1.62,1.02,2.66,1.82,2.66,3.5
2015-11-05,2015-16,Miami @ Minnesota,Miami Heat,Minnesota Timberwolves,1.01,2.22,1.29,1.59,2.32,70,3.61,2.7,3.5
2015-11-05,2015-16,Oklahoma City @ Chicago,Oklahoma City Thunder,Chicago Bulls,1.82,100,2.23,2.04,1.04,2.72,1.92,1.98,-1.5
2015-11-05,2015-16,Utah @ Denver,Utah Jazz,Denver Nuggets,1.04,2.66,1.73,1.73,1.44,100,3.38,2.4,2.5
2015-11-07,2015-16,Minnesota @ Chicago,Minnesota Timberwolves,Chicago Bulls,1.15,8,4.29,5.7,1.13,6.4,1.25,1.21,-9.5
