game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2019-10-22,2019-20,New Orleans Pelicans @ Toronto Raptors,New Orleans Pelicans,Toronto Raptors,1.2,17.5,2.32,3.6,1.08,5.6,1.46,1.39,-7
2019-10-22,2019-20,Los Angeles Lakers @ Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,1.3,110,1.84,1.63,1.01,4.5,1.92,2.58,5.5
2019-10-23,2019-20,Chicago Bulls @ Charlotte Hornets,Chicago Bulls,Charlotte Hornets,1.09,5.7,1.75,1.67,1.05,11,2.23,2.48,3.5
2019-10-23,2019-20,Detroit Pistons @ Indiana Pacers,Detroit Pistons,Indiana Pacers,1.05,4.2,3.21,3.75,1.19,2.58,1.37,1.36,-7.5
2019-10-23,2019-20,Cleveland Cavaliers @ Orlando Magic,Cleveland Cavaliers,Orlando Magic,3.9,21,5.26,5.7,1.01,1.35,1.13,1.21,-8
2019-10-23,2019-20,Boston Celtics @ Philadelphia 76ers,Boston Celtics,Philadelphia 76ers,2.18,9,3.13,3.55,1.01,1.86,1.37,1.4,-5
2019-10-23,2019-20,Minnesota Timberwolves @ Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,1.22,5,2.08,2.44,1.2,5,1.68,1.76,-3.5
2019-10-23,2019-20,Memphis Grizzlies @ Miami Heat,Memphis Grizzlies,Miami Heat,1.85,4.3,3.41,3.7,1.01,2.1,1.37,1.37,-7.5
2019-10-23,2019-20,New York Knicks @ San Antonio Spurs,New York Knicks,San Antonio Spurs,1.71,26,6.12,6.4,1.04,2.52,1.26,1.19,-10.5
2019-10-23,2019-20,Washington Wizards @ Dallas Mavericks,Washington Wizards,Dallas Mavericks,3.6,13.5,4.61,4.7,1.01,1.38,1.22,1.26,-10.5
2019-10-23,2019-20,Oklahoma City Thunder @ Utah Jazz,Oklahoma City Thunder,Utah Jazz,1.5,6.2,3.83,4.9,1.09,3,1.31,1.26,-9
2019-10-23,2019-20,Denver Nuggets @ Portland Trail Blazers,Denver Nuggets,Portland Trail Blazers,1.01,3.9,1.71,1.96,1.34,100,2.01,2.02,-1.5
2019-10-23,2019-20,Sacramento Kings @ Phoenix Suns,Sacramento Kings,Phoenix Suns,1.41,7.8,2.06,2.14,1.01,3.2,1.27,1.93,-7.5
2019-10-24,2019-20,Atlanta Hawks @ Detroit Pistons,Atlanta Hawks,Detroit Pistons,1.01,2.6,1.53,2.16,1.54,21,1.97,1.85,-1.5
2019-10-24,2019-20,Milwaukee Bucks @ Houston Rockets,Milwaukee Bucks,Houston Rockets,1.03,8.6,1.67,2.2,1.1,6,1.82,1.86,-1.5
2019-10-24,2019-20,Los Angeles Clippers @ Golden State Warriors,Los Angeles Clippers,Golden State Warriors,1.01,2.04,1.67,1.96,1.88,1000,2.65,2.02,3.5
2019-10-25,2019-20,Toronto Raptors @ Boston Celtics,Toronto Raptors,Boston Celtics,1.2,5,1.93,2.36,1.13,5,1.75,1.74,-3
2019-10-25,2019-20,Minnesota Timberwolves @ Charlotte Hornets,Minnesota Timberwolves,Charlotte Hornets,1.02,2.34,1.41,1.49,1.74,14,2.85,3,5.5
2019-10-25,2019-20,New York Knicks @ Brooklyn Nets,New York Knicks,Brooklyn Nets,1.33,34,4.33,4.3,1.02,4.1,1.16,1.32,-8
2019-10-25,2019-20,Dallas Mavericks @ New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans,1.01,5,2.11,2.28,1.28,26,1.81,1.76,-2.5
2019-10-25,2019-20,Washington Wizards @ Oklahoma City Thunder,Washington Wizards,Oklahoma City Thunder,1.03,5,3.35,4.6,1.2,5,1.34,1.3,-8.5
2019-10-25,2019-20,Chicago Bulls @ Memphis Grizzlies,Chicago Bulls,Memphis Grizzlies,1.02,5.1,1.8,1.81,1.3,5,1.89,2.16,2
2019-10-25,2019-20,Phoenix Suns @ Denver Nuggets,Phoenix Suns,Denver Nuggets,2,8.4,7.22,8,1.02,2,1.18,1.13,-11.5
2019-10-25,2019-20,Portland Trail Blazers @ Sacramento Kings,Portland Trail Blazers,Sacramento Kings,1.03,2.74,1.81,1.87,1.88,5,2.26,2.16,2
2019-10-25,2019-20,Utah Jazz @ Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,2.3,50,4.09,2.6,1.02,1.78,1.4,1.62,-3.5
2019-10-26,2019-20,Miami Heat @ Milwaukee Bucks,Miami Heat,Milwaukee Bucks,1.01,12.5,2.48,8.8,1.02,26,1.19,1.13,-11
2019-10-26,2019-20,Boston Celtics @ New York Knicks,Boston Celtics,New York Knicks,1.01,2,1.24,1.52,2.02,26,3.07,2.96,5.5
