game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2016-10-25,2016-17,New York Knicks @ Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,5.1,7.6,5.59,5.3,1.01,1.31,1.19,1.23,-9.5
2016-10-26,2016-17,Brooklyn Nets @ Boston Celtics,Brooklyn Nets,Boston Celtics,8.6,13,9.57,8.6,1.03,1.15,1.11,1.12,-13.5
2016-10-26,2016-17,Dallas Mavericks @ Indiana Pacers,Dallas Mavericks,Indiana Pacers,3.05,5.2,3.37,3.15,1.01,1.88,1.4,1.47,-6.5
2016-10-26,2016-17,Detroit Pistons @ Toronto Raptors,Detroit Pistons,Toronto Raptors,3.5,4.4,3.69,3.55,1.11,1.4,1.36,1.4,-7.5
2016-10-26,2016-17,Miami Heat @ Orlando Magic,Miami Heat,Orlando Magic,1.01,2.7,1.14,2.44,1.45,2.62,1.69,1.68,-4.5
2016-10-25,2016-17,San Antonio Spurs @ Golden State Warriors,San Antonio Spurs,Golden State Warriors,1.03,5.3,2.28,4.6,1.22,17.5,1.46,1.28,-8.5
2016-10-25,2016-17,Utah Jazz @ Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,1.36,5.3,2.85,3.3,1.02,2.6,1.28,1.42,-5.5
2016-10-26,2016-17,Charlotte Hornets @ Milwaukee Bucks,Charlotte Hornets,Milwaukee Bucks,1.01,1.91,1.21,1.89,2.08,2.22,2.15,2.12,1.5
2016-10-26,2016-17,Denver Nuggets @ New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans,1.17,2.22,2,2.08,1.76,3.65,1.95,1.91,-1.5
2016-10-26,2016-17,Houston Rockets @ Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,1.22,18,1.65,1.44,1.01,5,2.57,3.25,6.5
2016-10-26,2016-17,Minnesota Timberwolves @ Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,1.32,2.94,1.91,1.92,1.03,3.25,1.76,2.12,1.5
2016-10-26,2016-17,Oklahoma City Thunder @ Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,1.03,3.05,1.45,1.24,1.3,21,3.91,5.1,8.5
2016-10-26,2016-17,Sacramento Kings @ Phoenix Suns,Sacramento Kings,Phoenix Suns,1.08,2.48,1.5,2.46,1.66,4.5,1.97,1.67,-2.5
2016-10-27,2016-17,Washington Wizards @ Atlanta Hawks,Washington Wizards,Atlanta Hawks,2.12,4.6,2.58,2.64,1.04,2.3,1.54,1.62,-3.5
2016-10-27,2016-17,Boston Celtics @ Chicago Bulls,Boston Celtics,Chicago Bulls,1.98,6.4,2.42,2.04,1.04,2.04,1.75,1.94,2.5
2016-10-27,2016-17,Los Angeles Clippers @ Portland Trail Blazers,Los Angeles Clippers,Portland Trail Blazers,1.01,2.2,1.15,1.77,1.8,15,3.19,2.3,2.5
2016-10-27,2016-17,San Antonio Spurs @ Sacramento Kings,San Antonio Spurs,Sacramento Kings,1.01,2.4,1.31,1.31,1.69,5.8,3.11,4.2,8.5
2016-10-28,2016-17,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,1.01,2.04,1.32,1.7,1.9,5.7,2.86,2.42,2.5
2016-10-28,2016-17,Indiana Pacers @ Brooklyn Nets,Indiana Pacers,Brooklyn Nets,1.19,2.44,1.42,1.44,1.02,3.45,2.17,3.2,6.5
2016-10-28,2016-17,Orlando Magic @ Detroit Pistons,Orlando Magic,Detroit Pistons,2.56,2.82,2.67,2.7,1.06,1.64,1.55,1.59,-4.5
2016-10-28,2016-17,Charlotte Hornets @ Miami Heat,Charlotte Hornets,Miami Heat,1.11,9.2,1.94,1.97,1.44,2.32,1.99,2.04,-2.5
2016-10-28,2016-17,Phoenix Suns @ Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,1.31,5.5,2.72,4.2,1.01,4.5,1.85,1.29,-9.5
2016-10-28,2016-17,Houston Rockets @ Dallas Mavericks,Houston Rockets,Dallas Mavericks,1.01,2.06,1.47,1.84,1.92,3.45,2.3,2.22,-1.5
2016-10-28,2016-17,Los Angeles Lakers @ Utah Jazz,Los Angeles Lakers,Utah Jazz,2,7.2,4.95,5,1.05,1.9,1.21,1.24,-8.5
