game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2014-10-28,2014-15,Orlando @ New Orleans,Orlando Magic,New Orleans Pelicans,3.9,7.6,6.11,5.6,1.01,1.4,1.19,1.22,-9.5
2014-10-28,2014-15,Dallas @ San Antonio,Dallas Mavericks,San Antonio Spurs,1.44,8.6,2.11,2.5,1.01,3.45,1.57,1.65,-4.5
2014-10-28,2014-15,Houston @ LA Lakers,Houston Rockets,Los Angeles Lakers,1.01,1.9,1.17,1.39,2.18,40,4.44,3.45,5.5
2014-10-29,2014-15,Milwaukee @ Charlotte,Milwaukee Bucks,Charlotte Hornets,1.05,4.8,2.56,4.7,1.08,7.6,2.2,1.27,-8.5
2014-10-29,2014-15,Philadelphia @ Indiana,Philadelphia 76ers,Indiana Pacers,2.5,4.8,3.81,4.1,1.03,1.58,1.42,1.34,-6.5
2014-10-29,2014-15,Brooklyn @ Boston,Brooklyn Nets,Boston Celtics,1.8,300,2.57,2.02,1.05,2.18,1.81,1.96,2.5
2014-10-29,2014-15,Washington @ Miami,Washington Wizards,Miami Heat,2.34,5.7,2.82,2.9,1.07,2,1.46,1.53,-4.5
2014-10-29,2014-15,Atlanta @ Toronto,Atlanta Hawks,Toronto Raptors,2.64,2.74,2.69,2.7,1.1,1.61,1.43,1.59,-4.5
2014-10-29,2014-15,Minnesota @ Memphis,Minnesota Timberwolves,Memphis Grizzlies,1.89,6.6,3.35,4.2,1.09,2,1.32,1.33,-8.5
2014-10-29,2014-15,Chicago @ New York,Chicago Bulls,New York Knicks,1.01,1.77,1.56,1.56,2.46,15,2.61,2.78,4.5
2014-10-29,2014-15,Detroit @ Denver,Detroit Pistons,Denver Nuggets,2.8,1000,3.65,3.25,1.12,1.7,1.33,1.45,-7.5
2014-10-29,2014-15,Houston @ Utah,Houston Rockets,Utah Jazz,1.02,1.76,1.38,1.7,2.36,34,4.06,2.38,3.5
2014-10-29,2014-15,LA Lakers @ Phoenix,Los Angeles Lakers,Phoenix Suns,2,26,8.91,9.4,1.01,1.18,1.11,1.12,-11.5
2014-10-29,2014-15,Golden State @ Sacramento,Golden State Warriors,Sacramento Kings,1.02,1.8,1.49,1.54,2.04,5.7,2.78,2.84,4.5
